epoch,train_loss,val_loss,kidney_dice,tumor_dice,cyst_dice,mean_foreground_dice
1,0.7047281341285122,0.6137990963702299,0.6351985262364758,0.0018971362192275998,0.5306122674610547,0.38923597663891935
2,0.6081771087281558,0.5601240317432248,0.7321840847025112,0.006118224424492242,0.5510204268016287,0.42977424530954406
3,0.5690299175223525,0.547755528469475,0.7664045575930147,0.007392337725313969,0.48979634004668526,0.4211977451216713
4,0.5597370960274521,0.5317911104280122,0.7710083893367222,0.11937244281165084,0.5102046383820921,0.4668618235101551
5,0.5211466669428105,0.5156406857529465,0.7967297276672052,0.08250461078342751,0.24490119591845014,0.37471184478969427
6,0.5155387979989149,0.5132015092032296,0.7923071670288943,0.12465178216848424,0.22451336446818243,0.38049077122185365
7,0.5123884354014786,0.49658769673230696,0.7906299647019834,0.16468382470531312,0.14292092494713177,0.3660782381181427
8,0.48820869001198786,0.4860607057201619,0.8053510596557539,0.2275413601421598,0.0002485149269384932,0.3443803115749507
9,0.47784758374399067,0.4876406764497562,0.8087116443381017,0.23542872790111602,0.022254169879063677,0.35546484737276046
10,0.466886896107878,0.47817953022158877,0.8146012808595385,0.20324923666612355,0.061691206890436265,0.3598472414720328
11,0.46231866491084195,0.45337703641580074,0.830012457711356,0.2471302692271576,0.009900083621125594,0.36234760351987977
12,0.4543281650664855,0.4398990668812577,0.853212332847167,0.2781754646030325,0.03148990053313257,0.3876258993277774
13,0.44157667731752204,0.472290962934494,0.8392525062877305,0.25504269783265576,0.022878012453745298,0.3723910721913772
14,0.4464627385747676,0.437743571948032,0.8256346121126291,0.34004081374437956,0.018135809869703173,0.39460374524223724
15,0.4248188946928297,0.46642592853429365,0.8311211101862849,0.22094590923557694,0.05007807834447663,0.3673816992554461
16,0.41953808692645056,0.4353880426105188,0.8694086488412351,0.25224568431210753,0.043359227021269764,0.3883378533915374
17,0.42475544144304433,0.43411680447811984,0.8314247423288773,0.34014180564622953,0.022266334195312123,0.39794429405680637
18,0.429473914206028,0.4160830968496751,0.8549658497985528,0.33259056451949837,0.04915581165165544,0.41223740865656894
19,0.3983470765607698,0.40805147922768886,0.867981920436937,0.2701132584768628,0.03369161131039002,0.3905955967413966
20,0.42904811413312444,0.41839370009850485,0.8449662929894973,0.3647531288060274,0.050247572534049066,0.4199889981098579
